iter	Passed	Remaining
786	2782	753
787	2787	749
788	2791	746
789	2795	743
790	2801	740
791	2805	736
792	2810	733
793	2815	730
794	2820	727
795	2825	724
796	2830	721
797	2835	717
798	2841	714
799	2847	711
800	2852	708
801	2857	705
802	2863	702
803	2869	699
804	2875	696
805	2881	693
806	2887	690
807	2893	687
808	2898	684
809	2904	681
810	2910	678
811	2915	675
812	2920	671
813	2926	668
814	2932	665
815	2937	662
816	2942	659
817	2947	655
818	2952	652
819	2957	649
820	2962	645
821	2967	642
822	2973	639
823	2978	636
824	2983	632
825	2988	629
826	2992	626
827	2998	622
828	3003	619
829	3008	616
830	3013	612
831	3020	609
832	3024	606
833	3030	603
834	3035	599
835	3040	596
836	3046	593
837	3051	589
838	3056	586
839	3062	583
840	3066	579
841	3071	576
842	3078	573
843	3083	569
844	3088	566
845	3095	563
846	3101	560
847	3107	556
848	3111	553
849	3117	550
850	3123	546
851	3128	543
852	3133	540
853	3139	536
854	3144	533
855	3151	530
856	3159	527
857	3165	523
858	3170	520
859	3175	516
860	3181	513
861	3186	510
862	3191	506
863	3197	503
864	3203	499
865	3208	496
866	3215	493
867	3221	489
868	3227	486
869	3232	483
870	3238	479
871	3243	476
872	3249	472
873	3254	469
874	3260	465
875	3265	462
876	3270	458
877	3276	455
878	3281	451
879	3287	448
880	3294	445
881	3301	441
882	3307	438
883	3312	434
884	3318	431
885	3324	427
886	3330	424
887	3336	420
888	3341	417
889	3347	413
890	3352	410
891	3358	406
892	3364	403
893	3370	399
894	3375	395
895	3380	392
896	3386	388
897	3391	385
898	3396	381
899	3402	378
900	3408	374
901	3415	371
902	3421	367
903	3430	364
904	3437	360
905	3443	357
906	3449	353
907	3455	350
908	3460	346
909	3467	342
910	3472	339
911	3478	335
912	3483	331
913	3490	328
914	3496	324
915	3502	321
916	3508	317
917	3513	313
918	3519	310
919	3525	306
920	3532	302
921	3538	299
922	3544	295
923	3550	291
924	3555	288
925	3562	284
926	3569	281
927	3575	277
928	3581	273
929	3586	269
930	3593	266
931	3599	262
932	3604	258
933	3610	255
934	3616	251
935	3621	247
936	3627	243
937	3633	240
938	3639	236
939	3644	232
940	3650	228
941	3656	225
942	3661	221
943	3668	217
944	3673	213
945	3679	210
946	3684	206
947	3690	202
948	3697	198
949	3704	194
950	3711	191
951	3716	187
952	3722	183
953	3727	179
954	3733	175
955	3738	172
956	3744	168
957	3751	164
958	3756	160
959	3761	156
960	3767	152
961	3772	149
962	3778	145
963	3784	141
964	3790	137
965	3795	133
966	3801	129
967	3807	125
968	3812	121
969	3817	118
970	3823	114
971	3830	110
972	3837	106
973	3841	102
974	3847	98
975	3852	94
976	3856	90
977	3862	86
978	3866	82
979	3871	79
980	3876	75
981	3881	71
982	3886	67
983	3891	63
984	3895	59
985	3900	55
986	3905	51
987	3911	47
988	3916	43
989	3922	39
990	3927	35
991	3932	31
992	3938	27
993	3943	23
994	3949	19
995	3954	15
996	3959	11
997	3965	7
998	3971	3
999	3976	0
